Country,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Meat,Miscellaneous,Milk - Excluding Butter,Vegetable Oils,Vegetables,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit (all except Population),,,,,
Myanmar,3.0066,0,3.8192,0.9251,2.5441,18.1335,0.0375,1.2814,12.7453,0.2938,5.7,10.6,NA,NA,NA,NA,54704000,%,,,,,
Namibia,3.3171,0,6.802,0.2718,0.6075,7.7772,0.0959,4.548,22.9078,0.1359,15,27.3,1.371271153,0.014600551,1.312829595,0.043841007,2541000,%,,,,,
Nepal,3.3076,0,7.1664,0.4361,0.1563,2.7069,0.0082,5.4139,26.2136,0.6006,3.8,8.7,0.906140819,0.006784238,0.89282571,0.006530871,29996000,%,,,,,
Netherlands,6.6484,0,1.2702,1.4787,0.7451,10.8567,0,10.3934,15.8449,0.2355,23.1,<2.5,5.815291693,0.08283048,0.076063434,5.656397779,17467000,%,,,,,
New Caledonia,3.6599,0,5.0979,1.0439,0.8385,11.6086,0.2851,5.0476,16.8532,0.1887,NA,7.1,NA,NA,NA,NA,295000,%,,,,,
New Zealand,13.9753,0,1.3271,1.2111,0.6485,13.9409,0,4.2948,10.2689,0.2835,32,<2.5,0.046520954,0.000501303,0.04469621,0.001323441,4987000,%,,,,,
Nicaragua,2.3309,0,9.2369,1.008,0.4174,7.6069,0.1102,6.5123,19.3952,0.1811,21.8,17,0.095497271,0.00257732,0.064053972,0.028865979,6596000,%,,,,,
Niger,2.6573,0,12.436,0.058,0.1353,3.6332,0.0097,4.3193,10.5904,0.4445,4.7,16.5,0.01900864,0.000682128,0.016329737,0.001996775,24189000,%,,,,,
Nigeria,0.8078,0,7.1082,0.5755,0.5957,2.4838,0.0101,0.4645,30.1494,0.5452,7.8,13.4,0.067547298,0.000798972,0.054602212,0.012146114,206140000,%,,,,,
North Macedonia,7.1263,0,1.9013,0.7305,0.2371,6.5409,0.0435,4.8476,21.6642,0.745,23.9,3.2,4.548028846,0.140192308,4.025721154,0.382115385,2080000,%,,,,,
Norway,6.4445,0,1.9601,1.0645,1.5545,10.6992,0.3244,7.4043,15.4642,0.1656,25,<2.5,1.200167069,0.010803787,0.334100613,0.855262669,5387000,%,,,,,
Oman,2.3712,0,3.7744,1.4422,0.929,9.0171,0.0325,9.6407,17.4495,0.5782,22.9,6.8,2.865287503,0.032505835,2.700318269,0.132463399,4713000,%,,,,,
Pakistan,8.9701,0,4.2124,0.6203,0.0818,3.4967,0.0068,11.5125,18.8603,0.075,7.8,20.3,0.250961347,0.005416403,0.230941432,0.014603512,220940000,%,,,,,
Panama,9.1864,0,3.8355,0.8991,0.8614,9.1046,0.132,5.7281,16.2412,0.1258,22.5,10,7.622320803,0.127363997,6.773850105,0.721106701,4283000,%,,,,,
Paraguay,3.8811,0,4.9807,1.5622,0.1742,10.2335,0.0272,3.7069,21.2672,0.1198,19,10.7,1.896664369,0.038690558,1.562591316,0.295382495,7255000,%,,,,,
